Depth,0.0150000,0.0200000,0.0250000,0.0300000,0.0400000,0.0500000,0.0600000,0.0800000,0.100000,mean ratio,slope,r,r-squared,normalizer
183,0.00846793,0.00817057,,0.00948320,0.0120491,0.00756929,0.00744539,0.00568344,0.00373168,0.00782507,0.00857290,0.987113,0.974393,2.52360
184,0.00820457,0.00794628,,0.00916655,0.0115006,0.00745337,0.00733254,0.00555047,0.00351376,0.00758352,0.00831993,0.988146,0.976432,2.74108
185,0.00801629,0.00780508,,0.00894498,0.0111365,0.00738941,0.00725704,0.00546740,0.00337621,0.00742411,0.00814615,0.988825,0.977774,2.91082
186,0.00787377,0.00768499,,0.00876458,0.0108361,0.00734825,0.00721055,0.00541090,0.00330285,0.00730400,0.00800821,0.989377,0.978867,3.07258
187,0.00780864,0.00763626,,0.00866841,0.0106366,0.00738456,0.00723949,0.00541175,0.00331379,0.00726244,0.00794434,0.989973,0.980047,3.22816
188,0.00783374,0.00767331,,0.00863300,0.0105186,0.00745146,0.00730168,0.00544691,0.00338019,0.00727986,0.00797604,0.990803,0.981690,3.36004
189,0.00787983,0.00771210,,0.00860795,0.0104048,0.00749714,0.00733285,0.00541029,0.00344197,0.00728587,0.00802878,0.991590,0.983251,3.46976
190,0.00790755,0.00773265,,0.00855212,0.0102643,0.00749368,0.00730618,0.00531783,0.00348217,0.00725706,0.00806687,0.992368,0.984794,3.57389
191,0.00791368,0.00773099,,0.00848800,0.0101081,0.00746712,0.00724907,0.00520581,0.00348471,0.00720594,0.00808329,0.993036,0.986120,3.68588
192,0.00784099,0.00765835,,0.00835153,0.00987428,0.00739145,0.00715048,0.00507350,0.00344650,0.00709838,0.00801642,0.993646,0.987331,3.81485
193,0.00762620,0.00745499,,0.00808613,0.00949928,0.00720748,0.00697008,0.00491319,0.00337937,0.00689209,0.00779908,0.994168,0.988370,3.97537
194,0.00725715,0.00710749,,0.00766643,0.00894345,0.00689866,0.00668371,0.00471260,0.00329923,0.00657109,0.00741912,0.994743,0.989513,4.17048
195,0.00683388,0.00669862,,0.00718304,0.00832497,0.00651989,0.00632490,0.00451418,0.00327963,0.00620989,0.00697721,0.995356,0.990734,4.36923
196,0.00646594,0.00633351,,0.00676564,0.00780562,0.00621221,0.00603603,0.00440709,0.00335818,0.00592303,0.00658095,0.995866,0.991748,4.54744
197,0.00624819,0.00612024,,0.00651053,0.00749326,0.00605502,0.00590585,0.00442816,0.00348478,0.00578075,0.00633866,0.996292,0.992598,4.67220
198,0.00621522,0.00608389,,0.00645409,0.00742821,0.00608235,0.00595752,0.00458011,0.00361030,0.00580146,0.00628451,0.996553,0.993118,4.74478
199,0.00633174,0.00618704,,0.00655237,0.00754916,0.00624635,0.00613903,0.00479782,0.00375075,0.00594428,0.00638322,0.996702,0.993414,4.79513
200,0.00651367,0.00636194,,0.00670903,0.00773912,0.00648118,0.00636185,0.00501658,0.00383640,0.00612747,0.00655600,0.996865,0.993740,4.84589
201,0.00671396,0.00656089,,0.00686443,0.00791297,0.00667526,0.00650047,0.00514235,0.00377396,0.00626804,0.00676517,0.997103,0.994215,4.90367
202,0.00685673,0.00668727,,0.00695081,0.00798047,0.00676480,0.00652501,0.00513727,0.00354766,0.00630625,0.00692033,0.997343,0.994692,4.98998
203,0.00686511,0.00670357,,0.00692845,0.00790629,0.00675810,0.00645805,0.00502201,0.00327995,0.00624019,0.00694459,0.997589,0.995184,5.15931
204,0.00676838,0.00662309,,0.00685346,0.00776885,0.00673557,0.00640786,0.00490644,0.00315909,0.00615284,0.00684773,0.997725,0.995455,5.48340
205,0.00663718,0.00650919,,0.00675738,0.00762821,0.00675859,0.00645362,0.00487249,0.00318147,0.00609977,0.00669873,0.997797,0.995599,5.96864
206,0.00652601,0.00643166,,0.00670427,0.00754236,0.00684350,0.00658748,0.00492474,0.00332253,0.00611032,0.00656969,0.997810,0.995625,6.53675
207,0.00646554,0.00638470,,0.00667640,0.00751322,0.00692626,0.00673114,0.00501128,0.00353509,0.00615546,0.00648780,0.997794,0.995593,7.09115
208,0.00637526,0.00631389,,0.00660865,0.00742708,0.00693964,0.00679921,0.00504510,0.00367687,0.00614821,0.00638579,0.997820,0.995644,7.52779
209,0.00620543,0.00615911,,0.00645427,0.00725176,0.00682140,0.00672208,0.00495829,0.00365689,0.00602865,0.00621124,0.997783,0.995571,7.83961
