Depth,0.00500000,0.0100000,0.0150000,0.0200000,0.0250000,0.0300000,0.0400000,0.0500000,0.0600000, mean ratio, slope, r, r-squared, ARM
221,0.200075,0.194861,0.194492,0.200547,,0.223565,0.256640,0.306885,0.366062,0.242891,0.180869,0.999050,0.998101,0.230848
222,0.197557,0.192214,0.191534,0.197405,,0.220478,0.253702,0.303404,0.362015,0.239789,0.178518,0.998967,0.997936,0.233126
223,0.196340,0.190599,0.189490,0.195229,,0.218276,0.252217,0.301192,0.360066,0.237926,0.177225,0.998824,0.997649,0.235323
224,0.195843,0.189650,0.188064,0.193563,,0.216603,0.251467,0.299927,0.359690,0.236851,0.176525,0.998647,0.997296,0.237771
225,0.194753,0.188331,0.186213,0.191685,,0.214581,0.249922,0.298186,0.358534,0.235276,0.175293,0.998494,0.996990,0.240342
226,0.193332,0.186830,0.184639,0.189949,,0.212847,0.247924,0.296060,0.356411,0.233499,0.173795,0.998432,0.996866,0.243346
227,0.193703,0.187588,0.185604,0.191113,,0.214629,0.249156,0.297133,0.356441,0.234421,0.174036,0.998534,0.997070,0.247533
228,0.198626,0.193558,0.192465,0.198399,,0.222815,0.257179,0.304967,0.364599,0.241576,0.178744,0.998880,0.997761,0.253196
229,0.210103,0.206454,0.205638,0.211639,,0.238041,0.272627,0.323263,0.383656,0.256428,0.189360,0.999141,0.998283,0.261006
230,0.227384,0.223884,0.222980,0.230186,,0.256948,0.292166,0.343123,0.402211,0.274860,0.205301,0.999232,0.998465,0.271819
231,0.247124,0.243270,0.244417,0.250687,,0.278638,0.315824,0.368693,0.427862,0.297064,0.223258,0.999367,0.998734,0.283589
